Angulorad,Xm,Ym,dxm,dym,dangulorad,Mkg,mckg,deltaMkg,deltamckg,normalN,roceN,DnormalN,DroceN

0.113,1.0,0.113,0.0005,0.0005,0.000549,0.499,1.89,5e-05,5e-05,18.4,2.82,0.000118,0.00967
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.209,0.931,5e-05,5e-05,9.07,1.02,0.000118,0.00455
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.3,1.18,5e-05,5e-05,11.5,1.64,0.000118,0.00587
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.434,1.53,5e-05,5e-05,14.9,2.57,0.000118,0.00779
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.448,1.73,5e-05,5e-05,16.9,2.49,0.000118,0.00884
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.299,1.23,5e-05,5e-05,12.0,1.58,0.000118,0.00618
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.219,1.04,5e-05,5e-05,10.1,1.01,0.000118,0.00512
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.3,1.23,5e-05,5e-05,12.0,1.58,0.000118,0.00617
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.101,0.539,5e-05,5e-05,5.25,0.392,0.000118,0.00245
0.113,1.0,0.113,0.0005,0.0005,0.000549,0.2,0.785,5e-05,5e-05,7.65,1.09,0.000118,0.00377
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.296,1.08,5e-05,5e-05,10.5,1.61,0.000176,0.00538
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.355,1.28,5e-05,5e-05,12.4,1.95,0.000176,0.00646
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.258,0.931,5e-05,5e-05,9.06,1.42,0.000176,0.00458
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.219,0.734,5e-05,5e-05,7.14,1.27,0.000176,0.00352
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.196,0.729,5e-05,5e-05,7.09,1.05,0.000176,0.0035
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.159,0.684,5e-05,5e-05,6.66,0.742,0.000176,0.00326
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.16,0.588,5e-05,5e-05,5.72,0.864,0.000176,0.00274
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.22,0.833,5e-05,5e-05,8.1,1.16,0.000176,0.00405
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.162,0.635,5e-05,5e-05,6.18,0.827,0.000176,0.00299
0.122,1.0,0.123,0.0005,0.0005,0.000553,0.12,0.528,5e-05,5e-05,5.14,0.547,0.000176,0.00241
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.337,1.23,5e-05,5e-05,12.0,1.63,0.000269,0.00627
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.235,0.833,5e-05,5e-05,8.09,1.18,0.000269,0.0041
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.197,0.734,5e-05,5e-05,7.12,0.943,0.000269,0.00356
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.219,0.831,5e-05,5e-05,8.06,1.03,0.000269,0.00409
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.159,0.536,5e-05,5e-05,5.21,0.833,0.000269,0.00249
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.0971,0.429,5e-05,5e-05,4.17,0.373,0.000269,0.00191
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.157,0.53,5e-05,5e-05,5.14,0.828,0.000269,0.00245
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.115,0.384,5e-05,5e-05,3.73,0.605,0.000269,0.00166
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.166,0.589,5e-05,5e-05,5.72,0.831,0.000269,0.00278
0.138,1.0,0.139,0.0005,0.0005,0.000559,0.229,0.787,5e-05,5e-05,7.64,1.19,0.000269,0.00385
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.16,0.736,5e-05,5e-05,7.18,0.833,6.06e-05,0.00348
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.228,0.933,5e-05,5e-05,9.09,1.3,6.06e-05,0.00453
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.0925,0.433,5e-05,5e-05,4.22,0.472,6.06e-05,0.00187
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.258,1.04,5e-05,5e-05,10.1,1.48,6.06e-05,0.00509
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.197,0.831,5e-05,5e-05,8.1,1.1,6.06e-05,0.00399
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.392,1.53,5e-05,5e-05,15.0,2.3,6.06e-05,0.00773
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.12,0.53,5e-05,5e-05,5.16,0.647,6.06e-05,0.00238
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.0991,0.389,5e-05,5e-05,3.79,0.582,6.06e-05,0.00163
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.256,1.03,5e-05,5e-05,10.0,1.48,6.06e-05,0.00503
0.103,1.0,0.103,0.0005,0.0005,0.000546,0.191,0.734,5e-05,5e-05,7.15,1.14,6.06e-05,0.00347
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.291,1.04,5e-05,5e-05,10.0,1.38,0.000316,0.00522
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.395,1.39,5e-05,5e-05,13.4,1.9,0.000316,0.00713
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.395,1.38,5e-05,5e-05,13.4,1.91,0.000316,0.0071
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.0922,0.389,5e-05,5e-05,3.77,0.35,0.000316,0.0017
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.254,0.881,5e-05,5e-05,8.54,1.23,0.000316,0.00438
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.0968,0.332,5e-05,5e-05,3.22,0.475,0.000316,0.00139
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.204,0.734,5e-05,5e-05,7.11,0.951,0.000316,0.00358
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.0669,0.288,5e-05,5e-05,2.79,0.246,0.000316,0.00115
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.127,0.429,5e-05,5e-05,4.16,0.633,0.000316,0.00192
0.146,1.0,0.147,0.0005,0.0005,0.000561,0.204,0.691,5e-05,5e-05,6.7,1.01,0.000316,0.00335